date,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,relative_humidity,rainfall_mm,snowfall_mm
2020-01-02,Netherlands,0,0,0,0,,,,,17282163,3.180556,-0.069444,6.902778,97.251053,0,
2020-01-02,Norway,0,0,0,0,,,,,5328212,6.648148,4.469136,8.382716,89.341047,16.51,110.49
2020-01-02,Germany,1,0,1,0,,,,,83019213,-0.444444,-4.1,2.4,87.813541,0,
2020-01-02,Turkey,0,0,0,0,,,,,82003882,1.533333,-0.016667,3.588889,82.69808,1.143,20.32
2020-01-02,Macedonia,0,0,0,0,,,,,2077132,,,,,,
2020-01-02,Malta,0,0,0,0,,,,,493559,10.588889,6.283333,15.522222,69.337903,0,
2020-01-02,Bulgaria,0,0,0,0,,,,,7000039,0.117284,-4.919753,6.203704,73.553206,0,
2020-01-02,Austria,0,0,0,0,,,,,8858775,-0.594444,-4.255556,4.488889,77.92414,0,711.2
2020-01-02,United Kingdom,0,0,0,0,,,,,66647112,6.308642,2.160494,9.265432,88.51639,2.721429,
2020-01-02,Slovenia,0,0,0,0,,,,,2080908,-0.888889,-5.527778,6.694444,79.281936,0,
2020-01-02,Romania,0,0,0,0,,,,,19414458,-3.5,-7.294444,0.894444,80.989914,0,556.26
2020-01-02,Bosnia and Herzegovina,0,0,0,0,,,,,3280815,0.111111,-4.728395,5.246914,65.257578,2.229556,99.906667
2020-01-03,Sweden,0,0,0,0,,,,,10230185,3.261111,-0.327778,6.05,63.24262,0.85725,
2020-01-03,Austria,0,0,0,0,,,,,8858775,-0.994444,-4.483333,3.211111,85.418843,0,680.72
2020-01-03,Lithuania,0,0,0,0,,,,,2794184,1.055556,-1.027778,2.625,83.176401,0,
2020-01-03,Belgium,0,0,0,0,,,,,11455519,7.905556,3.955556,9.655556,90.410586,1.947333,
2020-01-03,Iceland,0,0,0,0,,,,,356991,-11.141975,-14.771605,-8.808642,77.201578,0,408.94
2020-01-03,Switzerland,0,0,0,0,,,,,8544527,0.030864,-3.290123,3.222222,79.079469,0,
2020-01-03,Andorra,0,0,0,0,,,,,77265,4.763889,0.597222,8.402778,71.117248,5.0165,
2020-01-03,Albania,0,0,0,0,,,,,2862427,3.533333,-3.383333,11.711111,52.919039,0,
2020-01-03,Czech Republic,0,0,0,0,,,,,10649800,-1.288889,-5.538889,3.377778,87.541516,0,10.16
2020-01-03,Italy,0,0,0,0,,,,,60359546,8.534722,2.923611,13.201389,69.358464,0,
2020-01-03,Latvia,0,0,0,0,,,,,1919968,2.194444,0.993056,3.222222,92.439462,0,
2020-01-03,Luxembourg,0,0,0,0,,,,,613894,5.316667,2.655556,7.194444,95.79268,2.902857,
2020-01-03,Bosnia and Herzegovina,0,0,0,0,,,,,3280815,0.179012,-5.703704,6.191358,67.964939,3.330222,115.57
2020-01-03,Estonia,0,0,0,0,,,,,1324820,4.133333,1.877778,5.355556,86.195048,1.778,
2020-01-03,Germany,0,0,1,0,,,,,83019213,5.155556,2.372222,7.427778,89.905786,1.016,
2020-01-03,Armenia,0,0,0,0,,,,,2963234,-1.9,-4.822222,2.288889,82.785679,0.03175,
2020-01-03,Bulgaria,0,0,0,0,,,,,7000039,-0.475309,-5.425926,7.123457,76.257953,0,
2020-01-03,Gibraltar,0,0,0,0,,,,,33691,12.240741,8.598765,16.790123,78.709451,0,
2020-01-03,Ukraine,0,0,0,0,,,,,43733759,-0.208333,-1.694444,1.694444,83.255913,0,
2020-01-03,Monaco,0,0,0,0,,,,,39244,7.880952,5.484127,11.174603,76.350042,0,
2020-01-03,Norway,0,0,0,0,,,,,5328212,2.185185,-0.339506,5.283951,79.059637,11.853333,139.7
2020-01-03,Finland,0,0,1,0,,,,,5517919,1.988889,-1.783333,4.338889,82.629384,1.342571,78.74
2020-01-03,France,0,0,0,0,,,,,67012883,8.544444,4.35,11.077778,91.028783,0.366889,
2020-01-03,United Kingdom,0,0,0,0,,,,,66647112,4.950617,2.62963,8.728395,82.009414,0.943429,
2020-01-03,Portugal,0,0,0,0,,,,,10276617,12.652778,9.645833,16.243056,82.013057,0,
2020-01-03,Malta,0,0,0,0,,,,,493559,10.183333,5.761111,15.311111,71.219744,0,
2020-01-03,Greece,0,0,0,0,,,,,10724599,6.672222,2.805556,10.833333,50.785673,0.6096,
2020-01-03,Hungary,0,0,0,0,,,,,9772756,-2.728395,-3.888889,-1.925926,97.116367,0,
2020-01-03,San Marino,0,0,0,0,,,,,33938,4.802469,0.197531,9.993827,79.434461,0,
2020-01-03,Slovenia,0,0,0,0,,,,,2080908,-0.088889,-5,6.894444,78.526905,0,
2020-01-03,Netherlands,0,0,0,0,,,,,17282163,7.340278,3.4375,9.743056,91.668056,1.7145,
2020-01-03,Vatican City,0,0,0,0,,,,,809,8.858025,3.611111,14.04321,71.798769,0,
2020-01-03,Slovakia,0,0,0,0,,,,,5450421,-1.765432,-5.91358,2.160494,54.0306,5.531556,448.945
2020-01-03,Macedonia,0,0,0,0,,,,,2077132,,,,,,
2020-01-03,Denmark,0,0,0,0,,,,,5806081,5.644444,3.338889,7.783333,89.972819,0.98425,
2020-01-03,Ireland,0,0,0,0,,,,,4904240,5.611111,3.083333,7.861111,85.082827,1.397,
2020-01-03,Georgia,0,0,0,0,,,,,3989175,,,,,,
2020-01-03,Croatia,0,0,0,0,,,,,4076246,1.777778,-3.527778,9.338889,64.487793,0,10.16
2020-01-03,Romania,0,0,0,0,,,,,19414458,-4.144444,-8.255556,1.972222,73.213679,0,523.24
2020-01-03,Turkey,0,0,0,0,,,,,82003882,1.288889,-1.266667,3.755556,82.523653,0,10.16
2020-01-03,Cyprus,0,0,0,0,,,,,875899,11.138889,8.659722,13.625,83.249105,8.98525,10.16
2020-01-03,Spain,0,0,0,0,,,,,46937060,3.018519,-0.154321,6.475309,92.627352,0,
2020-01-03,Belarus,0,0,0,0,,,,,9449321,-0.055556,-2.672222,4.505556,78.067612,0,12.7
2020-01-03,Faroe Islands,0,0,0,0,,,,,48865,1.722222,0.5,3.740741,61.035438,7.874,
2020-01-03,Russia,0,0,0,0,,,,,145934460,-25.796296,-28.592593,-23.555556,80.075025,0.592667,609.6
2020-01-04,Bulgaria,0,0,0,0,,,,,7000039,5.197531,-2.91358,13.388889,55.941334,0,
2020-01-04,Latvia,0,0,0,0,,,,,1919968,2.284722,1.111111,3.340278,86.03086,0,
2020-01-04,Portugal,0,0,0,0,,,,,10276617,11.268519,7.814815,15.157407,82.699521,0,
2020-01-04,Andorra,0,0,0,0,,,,,77265,4.555556,1.125,8.708333,77.33864,3.81,
2020-01-04,San Marino,0,0,0,0,,,,,33938,6.839506,3.333333,10.493827,84.572254,0,
2020-01-04,Georgia,0,0,0,0,,,,,3989175,,,,,,
2020-01-04,Spain,0,0,0,0,,,,,46937060,5.561728,0.04321,11.685185,74.402139,0,
2020-01-04,Germany,0,0,1,0,,,,,83019213,3.855556,1.961111,5.177778,86.954466,0,
2020-01-04,Romania,0,0,0,0,,,,,19414458,-4.122222,-9.416667,0.688889,81.230473,0,499.533333
2020-01-04,Netherlands,0,0,0,0,,,,,17282163,6.229167,2.902778,7.930556,91.353959,3.338286,
2020-01-04,Albania,0,0,0,0,,,,,2862427,4.283333,-3.527778,11.488889,64.137702,0,
2020-01-04,Armenia,0,0,0,0,,,,,2963234,-1.518519,-3.808642,1.987654,84.367144,0.818444,
2020-01-04,Macedonia,0,0,0,0,,,,,2077132,,,,,,
2020-01-04,Vatican City,0,0,0,0,,,,,809,9.730159,5.960317,14.198413,80.897985,0,
2020-01-04,Italy,0,0,0,0,,,,,60359546,8.468254,4.849206,11.873016,83.669666,0,
2020-01-04,Belgium,0,0,0,0,,,,,11455519,4.783333,2.266667,7.05,88.929692,0.73025,
2020-01-04,Iceland,0,0,0,0,,,,,356991,-3.160494,-11.333333,3.62963,85.546749,0,408.94
2020-01-04,Greece,0,0,0,0,,,,,10724599,8.105556,2.116667,15.4,52.311196,0,
2020-01-04,Austria,0,0,0,0,,,,,8858775,2.827778,-1.633333,6.05,86.9792,5.8166,701.04
2020-01-04,Czech Republic,0,0,0,0,,,,,10649800,2.405556,-1.111111,5.488889,84.008644,0.4318,10.16
2020-01-04,France,0,0,0,0,,,,,67012883,5.283333,1.155556,9.611111,88.011513,0.9652,
2020-01-04,Bosnia and Herzegovina,0,0,0,0,,,,,3280815,0.240741,-4.333333,5.240741,75.351249,1.23825,87.206667
2020-01-04,Russia,0,0,0,0,,,,,145934460,-21.62963,-29.888889,-16.592593,80.7493,2.286,609.6
2020-01-04,Ireland,0,0,0,0,,,,,4904240,7,4.9375,8.5625,92.826507,1.052286,
2020-01-04,Sweden,0,0,0,0,,,,,10230185,-0.805556,-3.544444,1.666667,58.172607,0.2032,
2020-01-04,Estonia,0,0,0,0,,,,,1324820,1.455556,-0.072222,5.161111,83.957722,2.286,10.16
2020-01-04,Ukraine,0,0,0,0,,,,,43733759,0.180556,-3.069444,3,85.764324,0,
2020-01-04,Slovenia,0,0,0,0,,,,,2080908,1.783333,-3.45,7.983333,77.021148,0,
2020-01-04,Turkey,0,0,0,0,,,,,82003882,0.505556,-1.183333,2.222222,88.794085,1.850571,46.566667
2020-01-04,Cyprus,0,0,0,0,,,,,875899,12.104167,6.618056,15.666667,72.33128,5.969,
2020-01-04,Monaco,0,0,0,0,,,,,39244,9.579365,5.261905,13.912698,65.176258,0,
2020-01-04,Norway,0,0,0,0,,,,,5328212,1.444444,-0.814815,4.228395,77.406839,8.297333,154.94
2020-01-04,Faroe Islands,0,0,0,0,,,,,48865,3.259259,-0.537037,9.240741,73.950618,2.286,
2020-01-04,United Kingdom,0,0,0,0,,,,,66647112,6.228395,4.061728,7.308642,86.029464,0.15875,
2020-01-04,Croatia,0,0,0,0,,,,,4076246,3.311111,-2.116667,9.65,67.938036,0,10.16
2020-01-04,Hungary,0,0,0,0,,,,,9772756,1.12963,-3.191358,5.555556,87.873919,0,
2020-01-04,Switzerland,0,0,0,0,,,,,8544527,1.222222,-1.407407,3.703704,88.849014,1.354667,10.16
2020-01-04,Denmark,0,0,0,0,,,,,5806081,3.688889,-0.344444,6.155556,79.675123,2.2225,
2020-01-04,Luxembourg,0,0,0,0,,,,,613894,2.433333,0.833333,3.733333,93.66901,2.431143,
2020-01-04,Malta,0,0,0,0,,,,,493559,11.133333,6.538889,15.561111,72.448537,0,
2020-01-04,Finland,0,0,1,0,,,,,5517919,-3.377778,-6.416667,0.422222,86.510224,1.27,52.07
2020-01-04,Slovakia,0,0,0,0,,,,,5450421,-3.592593,-7.302469,0.611111,87.607065,4.967111,690.372
2020-01-04,Gibraltar,0,0,0,0,,,,,33691,11.722222,7.345679,15.376543,78.889713,0,
2020-01-04,Lithuania,0,0,0,0,,,,,2794184,2.027778,-0.319444,4.388889,87.281254,3.132667,
2020-01-04,Belarus,0,0,0,0,,,,,9449321,0.838889,-1.433333,2.4,92.560436,0.8255,10.16
2020-01-05,Austria,0,0,0,0,,,,,8858775,0.65,-1.466667,2.538889,83.911461,5.0038,
2020-01-05,Georgia,0,0,0,0,,,,,3989175,,,,,,
2020-01-05,Switzerland,0,0,0,0,,,,,8544527,-0.12963,-4.351852,3.111111,69.879099,0.056444,
2020-01-05,Albania,0,0,0,0,,,,,2862427,4.361111,1.155556,9.25,55.842017,0.127,
2020-01-05,Greece,0,0,0,0,,,,,10724599,6.566667,2.794444,11.305556,74.523604,0.725714,
2020-01-05,Iceland,0,0,0,0,,,,,356991,0.240741,-1.5,2.228395,83.22997,0,429.26
2020-01-05,Andorra,0,0,0,0,,,,,77265,4.763889,-1,11.361111,60.76238,2.4765,
2020-01-05,United Kingdom,0,0,0,0,,,,,66647112,7.604938,5.518519,8.746914,87.614486,0.47625,
2020-01-05,Armenia,0,0,0,0,,,,,2963234,-3.683333,-6.672222,2.555556,82.123717,9.9314,
2020-01-05,San Marino,0,0,0,0,,,,,33938,5.679012,1.401235,10.635802,75.505922,0,
2020-01-05,Ukraine,0,0,0,0,,,,,43733759,1.125,0.347222,1.902778,92.232391,0.5715,
2020-01-05,Finland,0,0,1,0,,,,,5517919,-8.872222,-13.122222,-3.627778,88.163132,0.4445,64.008
2020-01-05,Malta,0,0,0,0,,,,,493559,12.461111,8.355556,16.305556,59.734477,0.0254,
2020-01-05,Belgium,0,0,0,0,,,,,11455519,5.933333,5.1,6.916667,83.642525,0.03175,
2020-01-05,Ireland,0,0,0,0,,,,,4904240,8.888889,7.145833,10.666667,90.430137,0.8255,
2020-01-05,Croatia,0,0,0,0,,,,,4076246,1.622222,-2.861111,6.666667,56.286578,0.0254,
2020-01-05,Cyprus,0,0,0,0,,,,,875899,13.277778,8.930556,16.951389,69.428081,1.3335,
2020-01-05,Slovenia,0,0,0,0,,,,,2080908,1.016667,-4.283333,6.916667,60.20899,0,
2020-01-05,Bulgaria,0,0,0,0,,,,,7000039,3.987654,0.598765,7.648148,74.655127,0,30.48
2020-01-05,Spain,0,0,0,0,,,,,46937060,4.91358,-1.098765,12.493827,70.029415,0,
2020-01-05,France,0,0,0,0,,,,,67012883,4.544444,0.033333,8.683333,84.910718,0,
2020-01-05,Latvia,0,0,0,0,,,,,1919968,-0.479167,-2.756944,1.083333,77.617575,0,
2020-01-05,Belarus,0,0,0,0,,,,,9449321,-0.127778,-1.8,1.133333,84.723456,0.254,16.256
2020-01-05,Luxembourg,0,0,0,0,,,,,613894,3.15,2.083333,4.055556,90.471642,0.145143,
2020-01-05,Vatican City,0,0,0,0,,,,,809,9.428571,4.428571,15.460317,60.629377,0,
2020-01-05,Bosnia and Herzegovina,0,0,0,0,,,,,3280815,-0.083333,-2.201389,4.104167,69.485347,2.243667,39.793333
2020-01-05,Czech Republic,0,0,0,0,,,,,10649800,-0.711111,-4.066667,1.544444,76.08103,1.778,25.4
2020-01-05,Italy,0,0,0,0,,,,,60359546,8.968254,3.388889,14.761905,58.688277,0,
2020-01-05,Portugal,0,0,0,0,,,,,10276617,9.055556,5.527778,13.12037,81.16311,0,
2020-01-05,Netherlands,0,0,0,0,,,,,17282163,6.465278,4.4375,7.375,91.757944,1.016,
2020-01-05,Norway,0,0,0,0,,,,,5328212,1.833333,-1.790123,5.12963,89.541699,3.302,234.95
2020-01-05,Gibraltar,0,0,0,0,,,,,33691,13.419753,10.320988,16.561728,72.994758,0,
